Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
3a138ef3-2cd1-2d31-b763-f1dca461266c,2021-10-04,,999-83-4547,,,,Becki838,Bunny174,Tremblay80,,,,white,nonhispanic,F,Bourne  Massachusetts  US,12593.57,3638.16
119961d8-2a6c-9d2e-5ad0-277f48360f58,1979-05-08,,999-55-3075,S99965143,X63256025X,Mr.,Louis204,,Prosacco716,,,M,white,nonhispanic,M,East Dennis  Massachusetts  US,143834.56,12537.67
a62af141-9f74-46fc-78ce-a07cf2f015ea,2008-07-09,,999-54-5721,S99930953,,,Louis204,Geraldo282,Romaguera67,,,,white,nonhispanic,M,Methuen  Massachusetts  US,2985.52,39293.9
f764b80c-eb2e-390e-510e-ac6642b88a1d,1958-03-26,,999-65-7729,S99982928,X89893086X,Mr.,Luther918,Frederick289,Greenholt190,,,M,asian,nonhispanic,M,Middleborough Center  Massachusetts  US,135452.81,761447.51
1e6a4f81-fb80-6af2-afee-eca28d1121fc,1993-03-30,,999-47-6684,S99980010,X53195404X,Mrs.,Jessenia588,Laurinda852,Dibbert990,,Witting912,M,white,nonhispanic,F,Stoughton  Massachusetts  US,9206.05,397999.78
215b5251-e361-daac-4213-01b79a06ba8f,2015-10-18,,999-13-7269,,,,Morgan564,,Hermann103,,,,white,nonhispanic,M,Worcester  Massachusetts  US,16529.49,16239.02
423cbb1c-d12e-a1b5-f995-421865b7b893,1998-12-01,,999-73-9396,S99975500,X82968174X,Ms.,Emelina469,Odessa199,Runolfsson901,,,,white,nonhispanic,F,Foxborough  Massachusetts  US,90124.73,98793.88
d4471c3b-806f-805e-1f70-17e24493db9a,1966-03-31,,999-20-8221,S99948906,X31950614X,Mrs.,Pinkie318,Lue764,Donnelly343,,Langworth352,D,black,nonhispanic,F,Amherst  Massachusetts  US,864404.12,674864.55
bb028e54-b2d3-bd74-660e-f5747db937c0,1984-11-18,,999-18-1631,S99977221,X78999463X,Mrs.,Clemmie560,Michele387,Morissette863,,Flatley871,M,white,nonhispanic,F,Lowell  Massachusetts  US,263778.89,594756.38
62a21f4f-ad46-2c58-0a3d-e5a74168c8f1,1986-02-07,,999-19-8770,S99944722,X77565186X,Mr.,Marty115,,Shields502,,,M,white,nonhispanic,M,Sandwich  Massachusetts  US,198053,36919.4
ae10de1e-1692-fe58-f550-688b73e08cff,1990-09-03,,999-76-8634,S99945182,X20111421X,Mrs.,Steven797,Sunni15,Russel238,,Dietrich576,M,white,nonhispanic,F,Winchendon  Massachusetts  US,7768.3,386933.11
330f3ee9-3d4d-77a3-ab2f-885104030cee,1976-09-19,,999-74-1077,S99994969,X21025032X,Mr.,Jerrod232,,Swaniawski813,,,M,white,nonhispanic,M,Milford  Massachusetts  US,79984.24,196614.11
4bf1ea49-ebac-73bc-f970-971de6fc60c1,1987-07-24,,999-98-8566,S99998945,X20536441X,Mr.,Ahmad985,Zackary401,Zemlak964,,,D,white,nonhispanic,M,Salem  Massachusetts  US,12451.26,742290.26
e11154bd-ff74-772c-b61b-c37aece4b5e2,1968-05-17,2014-11-20,999-40-2873,S99969953,X46086288X,Mr.,Jon665,Brice635,Weimann465,,,D,white,nonhispanic,M,Boston  Massachusetts  US,120824.95,256660.52
7cd5e874-a09a-10d6-be36-6c436932188b,1972-02-02,,999-70-8989,S99926869,X20824396X,Mr.,Boris111,Brad867,Leuschke194,,,M,white,nonhispanic,M,Cambridge  Massachusetts  US,160768.47,15291.06
50a90024-ff79-93c4-82d7-48686dc3de6c,2000-08-14,,999-32-3561,S99991535,X87094978X,Mr.,Cyril535,Timmy68,Toy286,,,,white,nonhispanic,M,Worcester  Massachusetts  US,108110.82,303607.5
a107eaa6-af03-caf6-dac9-f9d3f407e527,2004-01-29,,999-50-3220,S99983553,X49418753X,Mr.,Ruben688,Milan77,MacGyver246,,,,white,nonhispanic,M,Dalton  Massachusetts  US,25658.61,690180.33
4b9e2675-36f7-405e-f733-40fe06bb81e3,2011-03-20,,999-31-1629,,,,Owen89,,Labadie908,,,,white,nonhispanic,M,Sagamore  Massachusetts  US,60251.76,0
b272cbc0-fa99-8433-3fac-10c20a65a345,1974-09-03,,999-28-2163,S99963508,X19295927X,Mrs.,Roni48,Josefina523,Beer512,,Balistreri607,M,white,nonhispanic,F,Somerset  Massachusetts  US,312941.19,974194.62
553f7539-7026-c009-c6b4-48abbe716e0d,1992-12-13,,999-95-6109,S99916013,X1162537X,Ms.,Jung484,Matha641,Will178,,,S,asian,nonhispanic,F,Sutton  Massachusetts  US,200534.14,646468.21
2c7eeef5-b1c8-5fdb-bb57-baf28339ba52,1964-03-25,,999-12-1504,S99914106,X62677045X,Mr.,Caleb651,,Gerhold939,,,D,black,nonhispanic,M,Stoneham  Massachusetts  US,9510.05,230704.62
d19d010b-6ba6-63ce-aadf-9b85f24b068c,1974-05-11,,999-82-4426,S99963963,X72677457X,Mrs.,Margarita164,Corrie32,Nitzsche158,,Muller251,D,white,nonhispanic,F,Milford  Massachusetts  US,18612.57,889792.63
32d1597f-0290-1957-f4c1-01d110a28008,1986-03-04,,999-77-9751,S99963454,X47488124X,Ms.,Demetria799,Shizue554,Spinka232,,,S,white,hispanic,F,Boston  Massachusetts  US,15393.94,592753.53
f0a84a39-cade-a1ae-743e-67b9947a5378,1989-02-23,,999-10-6067,S99945395,X68108241X,Mr.,Barton704,Mac103,Kulas532,,,D,asian,nonhispanic,M,Natick  Massachusetts  US,16175.15,435725.61
20edca6c-8c87-026c-f1d7-4c9643aac90f,2011-05-04,,999-25-7066,,,,Jewel43,Reynaldo722,Beier427,,,,white,nonhispanic,M,Danvers  Massachusetts  US,27416.07,2918.11
57b93601-44c7-ee8d-d307-6b5d22728611,2024-07-20,,999-85-2063,,,,Lacy523,,Schmeler639,,,,asian,nonhispanic,M,Chongqing  Chongqing Municipality  CN,4818.19,0
2ffbdd5a-e4d4-c945-4b25-a441d663a945,1968-05-17,,999-89-1591,S99916649,X82970477X,Mr.,Wilmer32,Valentine262,Braun514,,,M,white,nonhispanic,M,Boston  Massachusetts  US,123949.7,18543.53
de99d9b9-1b16-c595-70a3-51cc98004965,1998-03-05,,999-89-5649,S99965357,X4322321X,Ms.,Joanna347,Joeann663,Rosenbaum794,,,,white,nonhispanic,F,Amherst  Massachusetts  US,6884.78,351859.26
643b4525-9b64-0bdd-1af5-daac219e22af,2021-07-16,,999-40-3409,,,,Garnett735,,Vandervort697,,,,white,nonhispanic,F,Spencer  Massachusetts  US,15909.53,3379.39
4638a8f7-e790-0018-3c7f-aebf9b0ba738,2014-01-17,,999-79-2856,,,,Mary779,Connie24,Zemlak964,,,,white,nonhispanic,M,Orleans  Massachusetts  US,61852.71,351849.46
de9a3d10-f12c-a0e5-06c4-180c041a4803,2013-10-11,,999-89-2936,,,,Natacha644,Otilia736,Baumbach677,,,,white,nonhispanic,F,Arlington  Massachusetts  US,17196.47,18936.06
36680e10-25c8-a459-4733-a658e7a521a1,2004-05-29,,999-66-5047,S99948921,X38649589X,Ms.,Bobby524,Megan108,Mohr916,,,,white,nonhispanic,F,Agawam  Massachusetts  US,71922.25,10879.83
c6c3fd96-51bc-97ec-d78e-9a543f802cfa,1958-10-09,1997-06-20,999-81-3254,S99987267,X16464746X,Mr.,Andrea7,,Green467,,,D,white,nonhispanic,M,Reading  Massachusetts  US,470517.77,224571.84
3d23d1a6-b7b5-ef05-0180-a3c6d097313e,1944-04-07,,999-99-9788,S99990826,X57981112X,Mrs.,Zada604,Maira380,Rippin620,,Ryan260,M,white,nonhispanic,F,Northampton  Massachusetts  US,829760.83,238739.52
ad0018a9-3689-4810-538b-4c5b33963e74,1996-01-28,,999-20-6036,S99954500,X40073956X,Mrs.,Kamilah729,Allyn942,Halvorson124,,Will178,M,white,nonhispanic,F,Brookline  Massachusetts  US,463590.05,302067.85
0d88f0a5-f501-828e-17a9-6464afff5213,1988-04-03,,999-12-3447,S99921528,X87182566X,Mr.,Ferdinand55,Sammie902,Wunsch504,,,M,white,nonhispanic,M,Everett  Massachusetts  US,79189.79,14675.81
2714bd17-31dc-34d9-ed6a-77e5c38e1941,1983-10-22,,999-10-9331,S99998060,X14623152X,Mr.,Kevin729,Shannon293,Jacobson885,PhD,,D,white,nonhispanic,M,Holbrook  Massachusetts  US,29161.23,113733.73
94c1c3aa-76d6-ba3c-2d8a-0c54a0a0ace7,1982-12-17,,999-84-7654,S99912145,X4329410X,Mrs.,France571,Rivka589,Wilderman619,,Gutkowski940,M,white,nonhispanic,F,Haverhill  Massachusetts  US,234626.71,580852.92
26b3de87-afd7-4b1d-8eeb-ad42e8760d28,2019-08-24,,999-35-9120,,,,Scotty190,Christian753,Nienow652,,,,white,nonhispanic,M,Easthampton  Massachusetts  US,16836.5,1862.92
d110c144-f97d-362c-4eb6-6f84187f2bd7,1963-05-31,,999-94-3232,S99925783,X52297654X,Mrs.,Zenia843,Johnnie679,Dicki44,,Reynolds644,M,white,nonhispanic,F,Plymouth  Massachusetts  US,1316599.05,859236.78
5afd64f2-928b-5482-dd60-7fa47afafd92,2003-11-19,,999-72-7349,S99976785,X55617824X,Mr.,Keven605,Marcellus830,Lang846,,,,black,nonhispanic,M,Danvers  Massachusetts  US,3966.96,59659.02
7bffdbc3-a6a9-ebcf-692b-a73439dc55f5,1981-08-28,,999-44-8640,S99992143,X24442219X,Mr.,Leslie90,,Weissnat378,,,M,white,nonhispanic,M,Woburn  Massachusetts  US,83667.87,14785.32
b0723934-3750-191e-e91c-e67555c45660,1958-10-09,,999-21-9556,S99976385,X51614699X,Mr.,Logan497,Hilton264,Tillman293,,,S,white,nonhispanic,M,Springfield  Massachusetts  US,169185.39,49060.06
87fbac24-c072-1d21-b5e4-51b425a46f5d,1948-06-01,,999-12-7036,S99963593,X36282127X,Mr.,Barney639,Byron202,Kozey370,,,S,asian,nonhispanic,M,Shanghai  Shanghai Municipality  CN,277701.55,297915.74
b29e8f12-4776-3276-5d81-27e6aea9ae11,1993-07-20,,999-39-3251,S99947833,X11787469X,Mr.,Keneth579,,Leuschke194,,,M,white,hispanic,M,Lynnfield  Massachusetts  US,15189.24,751224.69
6fd0a3a0-8a2c-ab95-00ee-c37ecf6b5023,2003-09-08,,999-97-8363,S99986438,X23988246X,Ms.,Mui729,Jessenia588,Williamson769,,,,white,nonhispanic,F,Mashpee  Massachusetts  US,54793.54,175563.09
5baadd78-e63a-44a4-a245-4340ecd5aaa2,1936-02-15,,999-76-7116,S99915157,X42148745X,Mrs.,Porsha375,Melvina326,Beatty507,,Morissette863,W,white,nonhispanic,F,Revere  Massachusetts  US,285974.01,885893.45
e24caba2-835e-cdbf-2fbe-cfefabbef3a3,2001-04-05,,999-62-7623,S99936447,X28018306X,Mr.,Milford485,Michale231,Turner526,,,,black,nonhispanic,M,Somerville  Massachusetts  US,83490.83,8098.08
3a4f43de-1084-226e-1046-e2b8dfa3d740,2008-06-21,,999-39-5410,S99973538,,,Erlinda993,Melinda114,Schuster709,,,,asian,nonhispanic,F,Marlborough  Massachusetts  US,10853.58,657682.24
c9ff77f4-1506-e711-5641-52783ff25808,2017-11-03,,999-11-3593,,,,Carroll471,Eduardo902,Bosco882,,,,asian,nonhispanic,M,Shanghai  Shanghai Municipality  CN,13519.26,10710.12
4a31934b-d1ec-71c9-3139-0841c4bf3e42,2014-04-03,,999-33-4088,,,,Pura348,,O'Hara248,,,,white,nonhispanic,F,Worcester  Massachusetts  US,1795.86,25058.53
d8275441-32bd-eef3-3ff5-671ae8f7c947,1954-12-08,,999-78-3825,S99953348,X55651530X,Mr.,Gregg522,Eloy929,Christiansen251,,,S,white,nonhispanic,M,Arlington  Massachusetts  US,181593.5,70720.53
1b49b591-39c6-74a2-0457-37b40f003c38,2006-05-23,,999-43-7460,S99942357,,Ms.,Drew592,Verdell500,Tremblay80,,,,white,nonhispanic,F,Greenfield  Massachusetts  US,70193.49,662576.08
21df3434-df1f-9676-b43f-e4b2d3316614,1981-04-26,2017-09-25,999-76-6745,S99916143,X48974348X,Ms.,Cheryl605,Alyssa971,Halvorson124,,,S,asian,nonhispanic,F,Hong Kong  Hong Kong Special Administrative Region  CN,918637.68,189549.41
16169a03-035d-fed0-e42b-2955bccf459a,1958-05-19,,999-98-6768,S99939825,X61381697X,Mrs.,Charles364,Isis628,Hahn503,,Grady603,M,white,hispanic,F,Worcester  Massachusetts  US,639885.45,183820.32
08290a22-7366-af33-aba1-f54a02eecb94,1958-04-02,,999-43-6009,S99981090,X35273316X,Mrs.,Alica364,Michell380,Reichert620,,Treutel973,M,white,nonhispanic,F,Danvers  Massachusetts  US,829721.63,349015.41
c8e32bde-04c1-64e9-9910-190406a06d86,1974-12-27,,999-81-1356,S99979940,X21674136X,Mr.,Stefan297,Bob965,Senger904,,,M,white,nonhispanic,M,New Bedford  Massachusetts  US,7616.25,118098.14
925aa324-e710-a6ff-3cc4-5e90ebb6f820,1983-12-10,,999-90-8311,S99936552,X14115334X,Mr.,Domenic627,Martin117,Goldner995,,,M,white,nonhispanic,M,Brockton  Massachusetts  US,118170.38,16103.01
71b1ed33-3b40-53f3-e5f3-3c98c3f5940e,1989-11-08,,999-41-1451,S99972543,X54791956X,Mr.,Reid278,,Schiller186,,,M,white,nonhispanic,M,Peabody  Massachusetts  US,105096.13,29670.88
387fd348-27be-c09c-55fe-1e8f6935402c,2006-04-01,,999-51-6719,S99932298,,Mr.,Raymundo71,,Mueller846,,,,white,nonhispanic,M,Lynn  Massachusetts  US,3439.96,59367.88
d57ba650-ba0c-be7b-bcc1-921ac382e167,1965-10-26,1998-04-17,999-53-1277,S99969778,X26707657X,Mrs.,Ariane992,Jonell764,Stanton715,,Cronin387,M,white,nonhispanic,F,Lyon  Auvergne-Rhone-Alpes  FR,411425.59,5683.47
27d63282-304a-5a62-c2a3-8e08bbfcf161,2018-09-09,,999-34-6578,,,,Jerry654,Malik994,Emmerich580,,,,asian,nonhispanic,M,Ho Chi Minh City  Gia Định  VN,12415.23,2633.28
4d8c55a3-3316-c44e-1b39-51a02d2b9aef,2023-12-07,,999-11-8145,,,,Gene733,Alex454,Sipes176,,,,asian,nonhispanic,M,Acton  Massachusetts  US,4165.58,4998.33
f8c7cb28-f8bf-a614-8cc2-74027a9302d6,2015-11-08,,999-81-2385,,,,Marva153,Genevieve884,Crooks415,,,,white,nonhispanic,F,Leominster  Massachusetts  US,43578.96,0
2c584e18-8fef-a3e9-fc2f-3dde5ef2f7dd,1973-08-25,,999-53-9954,S99960982,X24226809X,Mrs.,Lidia103,Shan714,Abshire638,MD,Gutkowski940,M,white,nonhispanic,F,Groveland  Massachusetts  US,367439.72,757377.2
861ae2a6-ec14-a48f-c3f6-284bce0b8bbc,1981-04-26,,999-79-8611,S99971671,X55444237X,Ms.,Gaynelle249,Vilma125,Fritsch593,,,S,asian,nonhispanic,F,Macau  Macao Special Administrative Region of the People's Republic of China  CN,891356.73,187726.94
84d7f87d-fa8f-076e-c983-adc8f0eff20f,2012-01-04,,999-77-5265,,,,Sherlyn657,Etha376,Prohaska837,,,,white,nonhispanic,F,North Andover  Massachusetts  US,29459.86,272.59
78ce1f74-5f69-78eb-2dfa-406f6fb34415,1985-06-05,,999-59-1432,S99950986,X37308137X,Ms.,Fumiko79,Ofelia194,Cronin387,,,S,white,nonhispanic,F,Chelsea  Massachusetts  US,271426.05,284063.27
205b783b-0e9a-4065-978a-fb1eaa465703,2016-06-08,,999-81-1932,,,,Abe604,,Koelpin146,,,,white,nonhispanic,M,Boston  Massachusetts  US,13981.87,6093.07
e180b34b-9424-0a41-0ecb-fd1a83d343c0,2019-06-25,,999-30-3462,,,,Pamala798,,Anderson154,,,,white,nonhispanic,F,Lawrence  Massachusetts  US,45568.65,0
2379443c-a2dc-c9fa-40ac-8d44dcf5f98f,1999-12-03,,999-62-7524,S99943883,X37830230X,Ms.,Deneen201,Lasonya941,Wiegand701,,,,white,nonhispanic,F,Deerfield  Massachusetts  US,120806.66,324694.87
e911445a-adfe-fd2f-0671-1cb8dca17a84,2022-04-25,,999-65-8155,,,,Graciela518,,Johnson679,,,,white,nonhispanic,F,Fitchburg  Massachusetts  US,2413.59,11033.03
fd5cdfd3-6abd-9bef-9528-64b9add9a639,1980-03-19,,999-18-8122,S99993898,X72044433X,Mr.,Donny470,Denver542,Haley279,,,M,white,nonhispanic,M,Norwood  Massachusetts  US,10259.21,211713.49
b1f5bac2-1979-6b4c-92bd-4b115aab2e85,1966-12-09,,999-28-6799,S99958982,X4585708X,Mr.,Leopoldo762,,Nader710,,,M,white,nonhispanic,M,Mansfield  Massachusetts  US,167511.78,0
af019dcf-25e6-3f09-3d3b-1b5807b12ec4,2002-11-01,,999-90-9847,S99946982,X16238774X,Ms.,Soledad678,,Nieves278,,,,asian,hispanic,F,San Juan  Puerto Rico  PR,64641.21,154502.5
e2417a3f-58b9-7ff3-6d74-ef59eac5bd1d,1938-09-26,2020-11-02,999-28-8995,S99939382,X5411306X,Mr.,Jefferey580,Wiley422,Bahringer146,,,M,white,nonhispanic,M,Boston  Massachusetts  US,113187.56,993416.04
b42f35c8-4eb8-a743-2822-245c29c41cf2,1993-11-17,,999-41-5214,S99988644,X57906268X,Mrs.,Janita977,Daina567,Bednar518,,Turner526,M,white,nonhispanic,F,Boston  Massachusetts  US,130946.16,188003.28
4abb445f-9f55-dc36-c9d7-eb48b9bc91f8,1932-09-22,2003-03-04,999-70-3454,S99935083,X8294369X,Mrs.,Shawn523,,Kautzer186,,Kuhn96,M,white,nonhispanic,F,Agawam  Massachusetts  US,1244266.87,637758.34
77ee195a-df5d-2eb3-aaab-b8f270b8edb1,1965-10-26,,999-68-4612,S99972575,X55220322X,Ms.,Romana140,Ariane992,Grimes165,,,S,white,nonhispanic,F,Marseille  Provence-Alpes-Cote d'Azur  FR,670941.7,30190.27
18c486af-8679-b571-9c49-e7f03350bea0,1972-09-15,,999-17-8677,S99919078,X42944258X,Mrs.,Salley758,Apryl870,Padberg411,,Dicki44,M,white,nonhispanic,F,Fall River  Massachusetts  US,308766.9,696155.53
965d695c-793f-a489-44b1-0b72e077f3db,1985-09-19,,999-73-8807,S99923492,X44575363X,Mrs.,Josephina269,Yoshie761,Graham902,,Herzog843,M,white,nonhispanic,F,Peabody  Massachusetts  US,244892.65,626898.37
102502a8-7333-9fc7-f3f1-934ab6f34e76,2025-01-02,,999-77-1544,,,,Michelle423,,Lubowitz58,,,,white,nonhispanic,F,Uxbridge  Massachusetts  US,3896.78,0
eac4e07f-e02b-50fb-3dbb-d5939208ae90,1962-06-17,,999-57-3007,S99958174,X49731386X,Mr.,Chris95,Jarred626,Schinner682,,,D,white,nonhispanic,M,Marlborough  Massachusetts  US,182565.48,47230.48
91528a00-6c9d-2dd1-d4bb-7593f6118e27,1990-06-25,,999-31-9311,S99955868,X62562081X,Mr.,Carter549,Leslie90,Dicki44,,,D,white,nonhispanic,M,Grafton  Massachusetts  US,119330.34,647598.92
801a057c-f489-de91-aff6-abae8e40051a,1969-02-11,,999-26-5342,S99921189,X84980072X,Mrs.,Natisha940,Jacquiline133,Spinka232,,Will178,M,white,nonhispanic,F,Worcester  Massachusetts  US,160054.12,175749.66
1d2f93e7-d811-9e8b-14a6-ff09e487310b,1980-04-02,,999-87-9835,S99969247,X7280042X,Mr.,Miguel815,Luis923,Fierro365,,,D,white,hispanic,M,Salisbury  Saint Joseph Parish  DM,15218.89,203585.27
58aa2db0-94f6-72f2-e6c8-fda3e9103a7f,2001-09-25,,999-17-6921,S99938701,X41323599X,Ms.,Cythia210,Collette420,Smitham825,,,,white,nonhispanic,F,Lynn  Massachusetts  US,107212.17,50547.94
fdabb121-6766-ce1d-ee0f-01b197e148e5,1943-04-01,,999-41-1259,S99937887,X85351679X,Mr.,Zachery872,Clyde817,Wintheiser220,,,S,white,nonhispanic,M,Newton  Massachusetts  US,274542.36,472153.64
85af000b-eb73-239f-60f9-0c2c02efd0b9,1960-02-16,,999-58-7124,S99943025,X65122237X,Mrs.,María Soledad68,Ana Luisa894,Munguía264,,Cardenas331,D,white,hispanic,F,Tegucigalpa  Francisco Morazán  HN,519474.6,12441.77
543c2e20-1161-2cea-275b-f7336fec45c4,1999-06-22,,999-53-5809,S99933738,X30705327X,Mr.,Jamar151,Amos720,Schmitt836,,,,black,nonhispanic,M,Lynn  Massachusetts  US,53931.66,18602.68
6a19633f-0c86-db9d-bee0-6cd56a98577e,2017-07-10,,999-82-8376,,,,Burma963,,Jast432,,,,white,nonhispanic,F,Great Barrington  Massachusetts  US,18244.58,13669.1
7a015c42-5eb4-d0a9-1d04-f5a523440277,2017-08-30,,999-27-6752,,,,Cristian531,Óscar156,Escamilla823,,,,white,hispanic,M,Gaudalajara  Jalisco  MX,14225.92,686669.64
c23197c0-5792-8a30-a500-e46bcec83414,1977-11-12,,999-18-2828,S99941717,X86186211X,Ms.,Nilda678,Virgen207,Brakus656,,,S,asian,nonhispanic,F,Milton  Massachusetts  US,194936.71,286029.82
6c76f172-0c61-4f1a-99f1-12f43b676d15,1995-03-15,,999-79-1533,S99939019,X53322215X,Mrs.,Gay359,Eneida722,Pfeffer420,,Cole117,M,white,nonhispanic,F,Newton  Massachusetts  US,16493.07,987691.77
8bed7cc3-e8c0-5fba-f4fe-43d191503cbb,1932-09-22,,999-19-8359,S99956293,X2898485X,Mrs.,Alline927,Anisa442,Berge125,,Lockman863,M,white,nonhispanic,F,Boston  Massachusetts  US,1094389.71,609111.13
a149b1d3-aa55-c080-dea2-c4003f0a1463,2014-05-24,,999-40-4900,,,,Leslie90,Maurice742,Hintz995,,,,white,nonhispanic,M,Rowley  Massachusetts  US,21128.64,0
f57bfb2f-df64-3901-62a2-c43a2fa76aa3,1938-09-26,,999-44-5587,S99962623,X44718747X,Mr.,Alexander630,Leigh689,Lebsack687,,,M,white,nonhispanic,M,Taunton  Massachusetts  US,201243.7,224778.13
d5c9bafb-e87d-2962-1172-892774b328b2,2022-06-14,,999-17-6069,,,,Gale827,Irwin931,Lueilwitz711,,,,white,nonhispanic,M,Chicopee  Massachusetts  US,10756.12,0
0c5a867f-3985-00af-d15d-704d275cdf7e,2014-03-08,,999-11-7960,,,,Mariana775,,Zúñiga630,,,,white,hispanic,F,Panama City  Panama  PA,33634.66,9215.38
7faef9fa-63c3-05f3-30df-ab8e71045cc1,1974-09-26,,999-98-6716,S99924367,X81259111X,Mr.,Anton902,,Schneider199,,,S,white,nonhispanic,M,Milton  Massachusetts  US,10707.56,184802.07
023be268-055d-4415-3364-ef59a50422a6,1961-08-04,,999-57-2818,S99972478,X31759744X,Mrs.,Velvet616,Ricki338,Klocko335,,Sauer652,M,white,nonhispanic,F,Falmouth  Massachusetts  US,312756.8,141455.14
c14b50e6-8d4a-77ea-03e7-3499d5fa3f1b,2015-05-07,,999-81-5834,,,,Shanta449,Apryl870,Bode78,,,,white,nonhispanic,F,Yarmouth  Massachusetts  US,22572.61,0
b5078004-3b70-b7e6-79e8-1403e1c8bfce,1995-01-30,,999-73-3818,S99988845,X84096730X,Mr.,Monte325,Efren426,Bednar518,,,S,white,nonhispanic,M,Whitinsville  Massachusetts  US,76582.15,63846.58
a2d8fd96-abe3-d9a2-9b8c-70b95ab3a8c0,1997-06-17,,999-33-9337,S99970311,X55542502X,Mr.,Reyes140,Dwayne786,Rau926,,,M,white,nonhispanic,M,Athol  Massachusetts  US,109299.6,675292.19
5df65f1e-5160-da46-ba47-e0e36f3369ee,1994-08-20,,999-93-2868,S99950103,X57627130X,Mrs.,Elida479,Kylee806,Maggio310,,Hills818,M,black,nonhispanic,F,Acton  Massachusetts  US,134075.1,245280.42
aaa9f7ce-d17c-25a2-ac6c-715f29118040,1967-03-27,,999-48-3784,S99969122,X57846173X,Mr.,Willian804,Rufus33,Feil794,,,S,white,hispanic,M,Arlington  Massachusetts  US,98941.46,99301.09
d8a15498-005e-14cd-70be-1134980b7c83,2012-08-04,,999-73-5563,,,,Judson999,Giuseppe872,Leffler128,,,,white,nonhispanic,M,Berlin  Berlin  DE,18227.14,17959.46
96bb6be1-7f2d-c1cf-4e7f-daf9794214d8,1950-12-02,,999-26-4872,S99995227,X34022631X,Mrs.,Conchita9,Lourdes258,Solís294,,Niño185,M,white,hispanic,F,Bayamon  Puerto Rico  PR,908240.99,149729.92
13e9e960-f70c-8b85-55e3-2e737951f188,1977-12-15,,999-24-3188,S99961488,X58889004X,Mrs.,Latonya462,Kassie598,King743,,Mills423,D,white,nonhispanic,F,Boston  Massachusetts  US,140288.06,243009.78
1ad72e22-9944-56ef-048d-3da197071ab5,1951-09-03,,999-18-4887,S99937119,X26611643X,Mr.,Esteban536,Asa127,Mueller846,,,M,white,nonhispanic,M,Brewster  Massachusetts  US,104034.07,157975.07
846d373d-a208-541c-bc5f-20407dbdcf44,1965-03-12,2020-07-08,999-81-8266,S99954117,X10801779X,Mr.,Solomon675,Preston275,DuBuque211,,,M,white,nonhispanic,M,Yarmouth  Massachusetts  US,238021.7,0
31e85add-2151-1958-153e-d82763529f1a,2021-02-23,,999-32-4144,,,,Melva551,Katelin466,Price929,,,,white,nonhispanic,F,Lowell  Massachusetts  US,840.5,10784.72
